test_case,threads,time_sec,acceleration_ratio,segments_used,peak_memory
small_dense,1,0.1238,1.0,216,36.00 KB
med_dense,1,3.8662,1.0,2791,3.70 MB
large_dense,1,62.0891,1.0,11754,13.88 MB
xl,1,198.128,1.0,21045,26.88 MB
huge,1,983.813,1.0,47105,59.94 MB
